Nom;Prénom;Courriel;Organisme;VIP;Date Modification
ALBERT;Renaud;renaud.albert@msn.com;Organisme 2;oui;31/10/2017
ALBERT;Pierre;pierre.albert@msn.com;Organisme 4;oui;31/10/2017
ALBERT;Bruce;bruce.albert@live.fr;Organisme 2;oui;31/10/2017
ALFRED;David;david.alfred@yahoo.fr;Organisme 1;non;31/10/2017
ALFRED;Guillaume;guillaume.alfred@live.fr;Organisme 4;non;31/10/2017
ALFRED;Albert;albert.alfred@yahoo.fr;Organisme 4;non;31/10/2017
BAZIN;Max;max.bazin@gmail.com;Organisme 1;oui;31/10/2017
BAZIN;Jules;jules.bazin@gmail.com;Organisme 5;non;31/10/2017
DENO;James;james.deno@hotmail.com;Organisme 3;non;31/10/2017
DEVIL;Jacques;jacques.devil@hotmail.com;Organisme 4;oui;31/10/2017
DEVIL;Matthieu;matthieu.devil@orange.net;Organisme 2;non;31/10/2017
DUPOND;Jean-Paul;jean-paul.dupond@free.fr;Organisme 1;oui;31/10/2017
DUPONT;Jacques;jacques.dupont@orange.net;Organisme 1;oui;31/10/2017
DURAND;Albert;albert.durand@gmail.com;Organisme 4;non;31/10/2017
JACK;Vincent;vincent.jack@hotmail.com;Organisme 5;oui;31/10/2017
JEAN;Max;max.jean@orange.net;Organisme 3;non;31/10/2017
JEAN;Matthieu;matthieu.jean@bouygues.net;Organisme 4;oui;31/10/2017
JEAN;Jean;jean.jean@hotmail.com;Organisme 3;oui;31/10/2017
KIVEN;Jacques;jacques.kiven@gmail.com;Organisme 5;oui;31/10/2017
KIVEN;Jean-Paul;jean-paul.kiven@live.fr;Organisme 1;oui;31/10/2017
MARTIN;Jules;jules.martin@gmail.com;Organisme 4;non;31/10/2017
PASCAL;Jean-Pierre;jean-pierre.pascal@live.fr;Organisme 4;non;31/10/2017
PASCAL;Sylvestre;sylvestre.pascal@msn.com;Organisme 5;oui;31/10/2017
PASCAL;Marc;marc.pascal@gmail.com;Organisme 4;oui;31/10/2017
PASCAL;David;david.pascal@yahoo.fr;Organisme 3;oui;31/10/2017
PASCAL;Bertrand;bertrand.pascal@gmail.com;Organisme 3;non;31/10/2017
PAUL;Bertrand;bertrand.paul@yahoo.fr;Organisme 5;non;31/10/2017
SILVA;Paul;paul.silva@hotmail.com;Organisme 2;non;31/10/2017
TADIO;Jean;jean.tadio@free.fr;Organisme 2;non;31/10/2017
TADIO;Albert;albert.tadio@hotmail.com;Organisme 3;oui;31/10/2017
TADIO;Vincent;vincent.tadio@yahoo.fr;Organisme 1;oui;31/10/2017
TADIO;Sylvestre;sylvestre.tadio@orange.net;Organisme 1;non;31/10/2017
TADIO;Guillaume;guillaume.tadio@free.fr;Organisme 3;oui;31/10/2017
